18/07/2019 - 10:40:06 PM	Derp(Joining/Connecting) connected from the server
18/07/2019 - 10:40:22 PM	Dio(Joining/Connecting) connected from the server
18/07/2019 - 10:40:41 PM	(͠≖ ͜ʖ͠≖) (DC)(Joining/Connecting) connected from the server
18/07/2019 - 10:40:52 PM	(づ｡◕‿‿◕｡)づ(Joining/Connecting) connected from the server
18/07/2019 - 10:40:55 PM	William(Weed Grower) changed his team from 'Citizen' to 'Weed Grower'
18/07/2019 - 10:40:58 PM	Zookie 〈メイド〉(Joining/Connecting) connected from the server
18/07/2019 - 10:41:06 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:09 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:10 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:10 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:10 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:16 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:17 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:19 PM	RICARDO(Joining/Connecting) connected from the server
18/07/2019 - 10:41:26 PM	UG | M A S T E R(Joining/Connecting) connected from the server
18/07/2019 - 10:41:32 PM	William(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:41:33 PM	BexGasm(Citizen) said '!goto will'
18/07/2019 - 10:41:33 PM	BexGasm(Citizen) used ULX command ' goto will'
18/07/2019 - 10:42:22 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:22 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:42:24 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:42:26 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:27 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:28 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:31 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:32 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:33 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:35 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:37 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:38 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:39 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:39 PM	BexGasm(Citizen) spawned a 'models/props_c17/fence03a.mdl'
18/07/2019 - 10:42:39 PM	RICARDO(Citizen) entered 'AdvDupe2_InitReceiveFile'
18/07/2019 - 10:42:42 PM	RICARDO(Citizen) entered 'AdvDupe2_InitReceiveFile'
18/07/2019 - 10:42:42 PM	William(Weed Grower) used ULX command ' ragdoll william'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) used 'advdupe2'
