20/07/2019 - 03:13:41 AM	Derp(Joining/Connecting) connected from the server
20/07/2019 - 03:13:58 AM	Dio(Joining/Connecting) connected from the server
20/07/2019 - 03:14:08 AM	Doof(Joining/Connecting) connected from the server
20/07/2019 - 03:14:29 AM	William(Citizen) said 'yes'
20/07/2019 - 03:14:33 AM	RICARDO(Joining/Connecting) connected from the server
20/07/2019 - 03:14:39 AM	William(Citizen) said 'um'
20/07/2019 - 03:14:58 AM	William(Citizen) said 'well its either dio dio or super administrator dio and then every superadmin can become dio brando'
20/07/2019 - 03:14:58 AM	Doof(Hitman) changed his team from 'Citizen' to 'Hitman'
20/07/2019 - 03:15:41 AM	William(Citizen) said 'ok well ill do that tomorrow because that would require another restart'
20/07/2019 - 03:15:42 AM	RICARDO(The God Ricardo) changed his team from 'Citizen' to 'The God Ricardo'
20/07/2019 - 03:15:46 AM	William(Citizen) said 'and im tired as hell'
20/07/2019 - 03:15:48 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:50 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:51 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:52 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:52 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:54 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:56 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:56 AM	William(Citizen) entered 'FSpectate'
20/07/2019 - 03:15:56 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:15:56 AM	William(Citizen) entered 'FSpectate_StopSpectating'
20/07/2019 - 03:15:58 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:16:02 AM	William(Citizen) said 'alright guys'
20/07/2019 - 03:16:05 AM	William(Citizen) said 'goodnight'
20/07/2019 - 03:16:08 AM	RICARDO(The God Ricardo) used ULX command ' noclip'
20/07/2019 - 03:16:24 AM	William(Citizen) said 'make sure to close the thread so no one replies'
20/07/2019 - 03:16:32 AM	William(Citizen) said 'nice'
