23/07/2019 - 10:46:07 PM	Derp(Joining/Connecting) connected from the server
23/07/2019 - 10:46:28 PM	William(Citizen) said '!spmenu'
23/07/2019 - 10:46:33 PM	William(Vape Dealer) changed his team from 'Citizen' to 'Vape Dealer'
23/07/2019 - 10:46:47 PM	Blumbing :cozycsgoctwhite:(Joining/Connecting) connected from the server
23/07/2019 - 10:46:56 PM	William(Vape Dealer) entered 'gm_giveswep'
23/07/2019 - 10:47:04 PM	William(Vape Dealer) said '!createflip'
23/07/2019 - 10:47:30 PM	William(Vape Dealer) said '!spmenu'
23/07/2019 - 10:47:35 PM	Sukebena-Chan(Joining/Connecting) connected from the server
23/07/2019 - 10:47:40 PM	Big Boi Blumbing(Citizen) entered 'FPP_SetBuddy'
23/07/2019 - 10:48:04 PM	Big Boi Blumbing(Robber) changed his team from 'Citizen' to 'Robber'
23/07/2019 - 10:48:14 PM	William(Vape Dealer) said 'hi'
23/07/2019 - 10:48:19 PM	William(Vape Dealer) said 'u cant spam vapes anymore'
23/07/2019 - 10:48:25 PM	William(Vape Dealer) entered 'gm_giveswep'
23/07/2019 - 10:48:33 PM	William(Vape Dealer) said 'do u hear anything ?'
23/07/2019 - 10:48:35 PM	William(Vape Dealer) entered 'gm_giveswep'
23/07/2019 - 10:48:42 PM	William(Vape Dealer) said 'ye'
23/07/2019 - 10:48:45 PM	William(Vape Dealer) said 'lol'
23/07/2019 - 10:48:49 PM	William(Vape Dealer) said 'well its better than go green'
23/07/2019 - 10:48:51 PM	Sukebena-Chan~(Citizen) used ULX command ' noclip'
23/07/2019 - 10:49:03 PM	Sukebena-Chan~(Citizen) used ULX command ' noclip'
23/07/2019 - 10:49:07 PM	William(Vape Dealer) said 'wait'
23/07/2019 - 10:49:11 PM	William(Vape Dealer) said 'lets try out coin flip'
23/07/2019 - 10:49:15 PM	Sukebena-Chan~(Citizen) said '!coinflip'
23/07/2019 - 10:49:16 PM	William(Vape Dealer) said '!createflip'
23/07/2019 - 10:49:19 PM	Sukebena-Chan~(Citizen) said '!flip'
23/07/2019 - 10:49:30 PM	Sukebena-Chan~(Citizen) said '!flip'
23/07/2019 - 10:49:32 PM	Sukebena-Chan~(Citizen) said '/coinflip'
23/07/2019 - 10:49:33 PM	Sukebena-Chan~(Citizen) said '/flip'
23/07/2019 - 10:49:36 PM	Sukebena-Chan~(Citizen) said '!cflip'
23/07/2019 - 10:49:39 PM	Sukebena-Chan~(Citizen) said '!coinf'
23/07/2019 - 10:49:43 PM	Big Boi Blumbing(Robber) said '!coin'
23/07/2019 - 10:49:47 PM	Big Boi Blumbing(Robber) said '!flips'
23/07/2019 - 10:49:52 PM	Sukebena-Chan~(Citizen) said '!iwannadie'
23/07/2019 - 10:50:05 PM	Sukebena-Chan~(Citizen) said '!coinflip'
23/07/2019 - 10:50:07 PM	Sukebena-Chan~(Citizen) said '!coin flip'
23/07/2019 - 10:50:07 PM	William(Vape Dealer) said 'rip'
23/07/2019 - 10:50:08 PM	William(Vape Dealer) said 'i lost'
23/07/2019 - 10:50:11 PM	bananap00p(Joining/Connecting) connected from the server
23/07/2019 - 10:50:12 PM	William(Vape Dealer) said 'how do u join a flip?'
23/07/2019 - 10:50:14 PM	Sukebena-Chan~(Citizen) said '!cflip'
23/07/2019 - 10:50:21 PM	Big Boi Blumbing(Robber) said '!'
23/07/2019 - 10:50:24 PM	Big Boi Blumbing(Robber) said 'flip'
23/07/2019 - 10:50:30 PM	Big Boi Blumbing(Robber) said '!flip'
23/07/2019 - 10:50:31 PM	William(Vape Dealer) said '!flip'
23/07/2019 - 10:50:34 PM	Big Boi Blumbing(Robber) said '!flips'
23/07/2019 - 10:50:39 PM	William(Vape Dealer) said 'how did you join my flip blumbing?'
23/07/2019 - 10:50:44 PM	Big Boi Blumbing(Robber) said '!createflip'
23/07/2019 - 10:50:48 PM	Sukebena-Chan~(Citizen) said '!flip'
23/07/2019 - 10:51:07 PM	William(Vape Dealer) said '!flip'
23/07/2019 - 10:51:09 PM	William(Vape Dealer) said '!joinflip'
23/07/2019 - 10:51:12 PM	Sukebena-Chan~(Citizen) used ULX command ' noclip'
23/07/2019 - 10:51:12 PM	William(Vape Dealer) said '!coinflip'
23/07/2019 - 10:51:13 PM	Sukebena-Chan~(Citizen) used ULX command ' noclip'
23/07/2019 - 10:51:14 PM	William(Vape Dealer) said '!flip'
23/07/2019 - 10:51:16 PM	William(Vape Dealer) said 'nothing happens'
